rnum,docid,hot,thank,gift,contr,views,yviews,article,patient1,ypatient,period,treat,once
879,http://huyang3144.haodf.com/,4.6,34,136,26220,457938,5533,225,967,0,4,1,1
880,http://lifengdt.haodf.com/,4.3,10,82,17850,278202,3660,11,1309,1,4,1,1
881,http://chenxian900508.haodf.com/,3.9,12,62,42330,1266133,7482,0,3863,0,4,1,1
882,http://drtangzheng.haodf.com/,5,208,488,31135,1981156,3446,1,3249,6,4,1,1
883,http://wuxfei108.haodf.com/,4.8,79,719,63110,324549,4042,28,3646,0,4,1,1
884,http://tuyuanmao.haodf.com/,4.7,68,624,34805,550643,1361,33,1393,2,4,1,1
885,http://wubian227.haodf.com/,4.4,38,534,52140,872807,3809,15,2784,3,4,1,1
886,http://baidaifu2017.haodf.com/,5,96,404,24545,358522,1954,16,1623,0,4,1,1
887,http://liweiming937.haodf.com/,4.8,60,659,60055,921188,1865,30,1674,3,4,1,1
888,http://zlpumc2017.haodf.com/,4.9,66,87,14520,196970,1294,7,1138,1,4,1,1
889,http://chenmiaopumch.haodf.com/,4.8,85,410,44480,2146535,3249,22,2477,0,4,1,1
890,http://lqxyisheng.haodf.com/,4.6,49,2499,42200,1603940,4906,64,3251,4,4,1,1
891,http://maxuzhu.haodf.com/,4.8,43,254,44826,1689421,3663,19,2108,0,4,1,1
892,http://blueman1320.haodf.com/,4.5,34,379,63278,2904383,2161,64,2922,1,4,1,1
893,http://Lvmeide.haodf.com/,5,83,380,79815,3790429,2767,1,5936,1,4,1,1
894,http://clq8125195.haodf.com/,3.9,6,93,92270,1469597,2727,17,5991,0,4,1,1
895,http://zhengchunsu.haodf.com/,3.8,4,3,1645,246108,465,0,3104,0,4,1,1
896,http://wushuliang.haodf.com/,3.5,1,29,33790,717327,2521,15,3465,0,4,1,1
897,http://baishuangfengdf.haodf.com/,3.4,0,8,21400,293476,1140,0,2346,0,4,1,1
898,http://xiachengyu.haodf.com/,4.7,214,928,129615,2356934,3173,38,4222,1,4,1,1
899,http://jiangchuhan.haodf.com/,4.7,212,529,64805,1763785,2996,18,4338,10,4,1,1
900,http://YanlongTian.haodf.com/,4.5,104,527,32955,663122,840,1,2181,0,4,1,1
901,http://zhanghuadoc.haodf.com/,4.6,198,409,47285,4497628,3986,962,6215,2,4,1,1
